id_codedep_codecom,coddep,commune,pmun,pcap,ptot
02183,02,CHEVREGNY,185,1,186
02184,02,CHEVRESIS-MONCEAU,351,5,356
02185,02,CHÉZY-EN-ORXOIS,390,15,405
02186,02,CHÉZY-SUR-MARNE,1351,45,1396
02187,02,CHIERRY,1134,15,1149
02188,02,CHIGNY,147,4,151
02189,02,CHIVRES-EN-LAONNOIS,350,8,358
02190,02,CHIVRES-VAL,518,12,530
02191,02,CHIVY-LÈS-ETOUVELLES,523,5,528
02192,02,CHOUY,371,7,378
02193,02,CIERGES,65,1,66
02194,02,CILLY,186,8,194
02195,02,CIRY-SALSOGNE,910,25,935
02196,02,CLACY-ET-THIERRET,311,7,318
02197,02,CLAIRFONTAINE,535,102,637
02198,02,CLAMECY,228,2,230
02199,02,CLASTRES,601,8,609
02200,02,CLERMONT-LES-FERMES,106,1,107
02201,02,CÅ“UVRES-ET-VALSERY,441,6,447
02203,02,COINCY,1282,20,1302
02204,02,COINGT,65,2,67
02205,02,COLLIGIS-CRANDELAIN,229,3,232
02206,02,COLONFAY,76,3,79
02207,02,COMMENCHON,216,3,219
02208,02,CONCEVREUX,267,6,273
02209,02,CONDÉ-EN-BRIE,708,11,719
02210,02,CONDÉ-SUR-AISNE,364,6,370
02211,02,CONDÉ-SUR-SUIPPE,294,3,297
02212,02,CONDREN,708,11,719
02213,02,CONNIGIS,343,2,345
02214,02,CONTESCOURT,61,1,62
02215,02,CORBENY,841,6,847
02216,02,CORCY,294,4,298
02217,02,COUCY-LE-CHÂTEAU-AUFFRIQUE,992,9,1001
02218,02,COUCY-LÈS-EPPES,628,12,640
